,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release date,artist popularity
9834,0.6809999999999999,0.594,5.0,-10.887,1.0,0.0328,0.0033,0.755,0.28800000000000003,0.799,139.96,276840.0,2010-03-31,[0]
9835,0.691,0.25,2.0,-23.12,1.0,0.481,0.804,2.81e-05,0.105,0.377,120.3,105810.0,2020-01-11,[37]
9836,0.902,0.608,11.0,-6.238,1.0,0.27,0.000456,0.0,0.0621,0.836,84.001,160742.0,2019-09-27,"[76, 83]"
9837,0.436,0.928,5.0,-2.515,0.0,0.234,0.139,0.0,0.171,0.569,96.676,177733.0,2019-09-10,[68]
9838,0.7490000000000001,0.191,1.0,-18.184,0.0,0.894,0.79,0.0,0.35700000000000004,0.353,99.373,30244.0,2020-07-11,[32]
9839,0.8059999999999999,0.779,10.0,-9.018,0.0,0.0632,0.00936,0.918,0.053,0.66,126.006,305730.0,2014-02-28,[41]
9840,0.637,0.774,9.0,-5.5520000000000005,0.0,0.0417,0.512,0.0518,0.284,0.88,103.057,196827.0,2009-01-09,[1]
9841,0.195,0.412,5.0,-18.871,1.0,0.16899999999999998,0.0105,0.528,0.199,0.387,62.87300000000001,134573.0,2002-01-01,[7]
9842,0.376,0.518,0.0,-8.561,1.0,0.0315,0.222,0.35,0.0898,0.206,147.983,236738.0,2019-05-03,[15]
9843,0.527,0.784,11.0,-5.148,0.0,0.112,0.934,0.0011,0.182,0.5870000000000001,87.06299999999997,230374.0,2019-11-15,[51]
9844,0.295,0.942,4.0,-6.704,1.0,0.0602,0.00222,0.513,0.0767,0.466,162.64,69600.0,2005-01-01,[21]
9845,0.364,0.696,4.0,-1.579,1.0,0.0396,0.251,0.0,0.109,0.198,160.02200000000005,249391.0,2004-01-01,[43]
9846,0.767,0.918,4.0,-3.04,1.0,0.0773,0.0392,7.86e-06,0.0552,0.961,124.075,215227.0,2020-11-13,"[80, 30]"
9847,0.311,0.75,7.0,-5.541,1.0,0.0471,0.245,0.0,0.108,0.312,141.832,237173.0,2010-01-01,[58]
9848,0.306,0.0282,9.0,-24.244,0.0,0.0433,0.955,0.000789,0.055,0.102,102.113,360600.0,2020-11-11,"[77, 28, 38]"
